customer_id,application_id,application_seq,application_date,age,income,loan_amount,loan_term,num_credit_lines,num_delinquencies,utilization_rate,debt_to_income,credit_score,credit_risk,channel_online,channel_branch,prev_fraud_flag,employment_years,savings_balance,recent_transaction_count,default_flag,fraud_flag
1,1,1,2022-01-01,37,252293,124300,17,6,1,0.5,0.406,693,2,0,1,0,10,121251,0,0,0
1,2,2,2022-07-02,37,300466,193640,25,7,0,0.342,0.229,669,3,1,0,0,10,160979,1,0,0
2,3,1,2022-01-01,21,387831,34205,55,10,1,0.456,0.569,694,2,1,0,1,10,284923,0,0,1
3,4,1,2022-01-01,34,216429,102596,75,3,0,0.405,0.326,769,2,1,0,0,5,135616,9,1,0
3,5,2,2022-07-02,34,216313,148513,76,4,1,0.088,0.284,788,2,0,1,0,5,176146,5,0,0
4,6,1,2022-01-01,22,250332,157454,48,7,2,0.411,0.321,592,3,1,0,0,7,156345,7,0,1
4,7,2,2022-07-02,22,250356,134887,49,6,1,0.398,0.432,582,3,0,1,0,7,59613,11,0,0
5,8,1,2022-01-01,23,490203,39709,29,6,1,0.408,0.249,596,3,0,1,0,9,49614,17,0,1
6,9,1,2022-01-01,53,356299,213377,50,8,0,0.298,0.062,627,3,0,1,0,7,10240,0,0,0
6,10,2,2022-06-02,53,341067,287488,48,6,0,0.276,0.0,623,3,0,1,0,7,11953,1,0,0
6,11,3,2022-11-01,53,375323,271229,49,6,1,0.387,0.0,598,3,1,0,0,7,14749,0,1,0
7,12,1,2022-01-01,37,213972,79329,54,0,0,0.6,0.842,612,3,0,1,0,14,79924,18,1,0
7,13,2,2022-08-01,37,218655,63839,50,0,1,0.466,0.672,639,3,0,1,0,14,100846,10,1,0
8,14,1,2022-01-01,55,529892,103933,34,12,0,0.386,0.0,675,3,0,1,0,11,116728,16,0,0
8,15,2,2022-07-02,55,528702,48687,36,10,0,0.492,0.0,637,3,0,1,0,11,99768,14,0,0
9,16,1,2022-01-01,65,320521,107155,81,6,0,0.065,0.322,712,2,1,0,1,5,17704,13,0,0
10,17,1,2022-01-01,63,318453,666334,62,7,0,0.227,0.267,649,3,0,1,1,7,38788,13,0,0
11,18,1,2022-01-01,65,268881,89601,51,0,1,0.217,0.041,592,3,1,0,0,1,68264,4,0,1
12,19,1,2022-01-01,23,126151,337526,13,6,0,0.461,0.286,662,3,1,0,0,9,12939,8,0,0
12,20,2,2022-11-01,23,133747,601940,16,7,0,0.34,0.35,672,3,1,0,0,9,24767,12,0,0
